Rank,Year,Position,Name,Age,Wins,Losses,Winning_Percentage,Earned_Run_Average,Games_Played,Games_Started,Games_Finished,Complete_Games,Shutouts,Saves,Innings_Pitched,Hits_Allowed,Runs_Allowed,Earned_Runs,Home_Runs_Allowed,Walks_Allowed,Intentional_Walks_Allowed,Strikeouts,Hit_By_Pitch,Balks,Wild_Pitches,Batters_Faced,Adjusted_Earned_Run_Average,Fielding_Independent_Pitching,Walks_Hits_Per_Inning_Pitched,Hits_Per_Nine_Innings,Home_Runs_Per_Nine_Innings,Walks_Per_Nine_Innings,Strikeouts_Per_Nine_Innings,Strikeout_Walk_Ratio,Dominant_Hand,Switch_Hitter
18,2003,,Valerio De Los Santos,30,1,0,1.0,9.0,6,0,1,0,0,0,4.0,7,7,4,0,3,0,4,1,0,1,23,49,4.03,2.5,15.8,0.0,6.8,9.0,1.33,Left,No
19,2003,,Josh Hancock,25,0,0,0.0,3.0,2,0,0,0,0,0,3.0,2,1,1,0,0,0,4,0,0,0,11,150,0.36,0.667,6.0,0.0,0.0,12.0,0.0,Right,No
20,2003,,Ryan Madson,22,0,0,0.0,0.0,1,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,6,0,3.03,0.0,0.0,0.0,0.0,0.0,0.0,Right,No
1,2002,SP,Randy Wolf,25,11,9,0.55,3.2,31,31,0,3,2,0,210.2,172,77,75,23,63,5,172,7,0,4,855,121,3.75,1.116,7.3,1.0,2.7,7.3,2.73,Left,No
2,2002,SP,Vicente Padilla,24,14,11,0.56,3.28,32,32,0,1,1,0,206.0,198,83,75,16,53,5,128,15,2,6,862,118,3.72,1.218,8.7,0.7,2.3,5.6,2.42,Right,No
3,2002,SP,Brandon Duckworth,26,8,9,0.471,5.41,30,29,0,0,0,0,163.0,167,103,98,26,69,5,167,7,0,10,725,72,4.39,1.448,9.2,1.4,3.8,9.2,2.42,Right,No
4,2002,SP,Robert Person,32,4,5,0.444,5.44,16,16,0,0,0,0,87.2,79,58,53,13,51,0,61,5,0,2,388,71,5.41,1.483,8.1,1.3,5.2,6.3,1.2,Right,No
5,2002,SP,Brett Myers,21,4,5,0.444,4.25,12,12,0,1,0,0,72.0,73,38,34,11,29,1,34,6,1,2,307,92,5.46,1.417,9.1,1.4,3.6,4.3,1.17,Right,No
6,2002,SP,Joe Roa,30,4,4,0.5,4.04,14,11,1,0,0,0,71.1,78,33,32,11,13,2,35,1,1,0,298,96,4.57,1.276,9.8,1.4,1.6,4.4,2.69,Right,No
7,2002,CL,Jose Mesa,36,4,6,0.4,2.97,74,0,64,0,0,45,75.2,65,26,25,5,39,7,64,4,0,9,331,131,3.83,1.374,7.7,0.6,4.6,7.6,1.64,Right,No
8,2002,RP,Terry Adams,29,7,9,0.438,4.35,46,19,10,0,0,0,136.2,132,76,66,9,58,5,96,3,0,8,590,89,3.75,1.39,8.7,0.6,3.8,6.3,1.66,Right,No
9,2002,RP,Carlos Silva,23,5,0,1.0,3.21,68,0,21,0,0,1,84.0,88,34,30,4,22,6,41,4,0,3,350,121,3.53,1.31,9.4,0.4,2.4,4.4,1.86,Right,No
10,2002,RP,Rheal Cormier,35,5,6,0.455,5.25,54,0,7,0,0,0,60.0,61,38,35,6,32,6,49,4,0,4,268,74,4.43,1.55,9.2,0.9,4.8,7.4,1.53,Left,No
11,2002,RP,Jose Santiago,27,1,3,0.25,6.7,42,0,7,0,0,0,47.0,56,35,35,7,15,1,30,3,0,1,214,58,4.77,1.511,10.7,1.3,2.9,5.7,2.0,Right,No
12,2002,,Dave Coggin,25,2,5,0.286,4.68,38,7,7,0,0,0,77.0,65,42,40,4,51,3,64,4,0,11,339,83,4.12,1.506,7.6,0.5,6.0,7.5,1.25,Right,No
13,2002,,Hector Mercado,28,2,2,0.5,4.62,31,3,7,0,0,0,39.0,32,21,20,2,25,2,40,3,1,3,173,85,3.73,1.462,7.4,0.5,5.8,9.2,1.6,Left,No
14,2002,,Mike Timlin,36,3,3,0.5,3.79,30,0,7,0,0,0,35.2,27,16,15,6,7,0,15,1,0,2,140,103,4.98,0.953,6.8,1.5,1.8,3.8,2.14,Right,No
15,2002,,Ricky Bottalico,32,0,3,0.0,4.61,30,0,6,0,0,0,27.1,33,16,14,3,13,2,24,2,0,2,128,85,4.28,1.683,10.9,1.0,4.3,7.9,1.85,Right,No
16,2002,,Dan Plesac,40,2,1,0.667,4.7,41,0,5,0,0,1,23.0,16,12,12,5,12,3,27,0,0,0,96,84,5.01,1.217,6.3,2.0,4.7,10.6,2.25,Left,No
17,2002,,Cliff Politte,28,2,0,1.0,3.86,13,0,7,0,0,0,16.1,19,10,7,0,9,1,15,1,0,1,77,103,2.96,1.714,10.5,0.0,5.0,8.3,1.67,Right,No
18,2002,,Eric Junge,25,2,0,1.0,1.42,4,1,2,0,0,0,12.2,14,3,2,0,5,0,11,0,0,0,56,281,2.41,1.5,9.9,0.0,3.6,7.8,2.2,Right,No
19,2002,,Doug Nickle,27,0,0,0.0,6.23,4,0,4,0,0,0,4.1,6,3,3,2,4,0,2,0,0,0,23,68,10.81,2.308,12.5,4.2,8.3,4.2,0.5,Right,No
20,2002,,Tomas Perez,28,0,0,0.0,0.0,1,0,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2,0,2.96,0.0,0.0,0.0,0.0,0.0,0.0,Right,No
1,2001,SP,Robert Person,31,15,7,0.682,4.19,33,33,0,3,1,0,208.1,179,103,97,34,80,3,183,8,1,10,867,101,4.68,1.243,7.7,1.5,3.5,7.9,2.29,Right,No
2,2001,SP,Omar Daal,29,13,7,0.65,4.46,32,32,0,0,0,0,185.2,199,100,92,26,56,3,107,5,3,0,801,95,4.7,1.373,9.6,1.3,2.7,5.2,1.91,Left,No
3,2001,SP,Randy Wolf,24,10,11,0.476,3.7,28,25,1,4,2,0,163.0,150,74,67,15,51,4,152,10,0,1,684,115,3.5,1.233,8.3,0.8,2.8,8.4,2.98,Left,No
4,2001,SP,Dave Coggin,24,6,7,0.462,4.17,17,17,0,0,0,0,95.0,99,46,44,7,39,6,62,5,0,3,415,102,4.09,1.453,9.4,0.7,3.7,5.9,1.59,Right,No
5,2001,SP,Amaury Telemaco,27,5,5,0.5,5.54,24,14,2,1,0,0,89.1,93,59,55,15,32,3,59,9,0,3,388,77,5.29,1.399,9.4,1.5,3.2,5.9,1.84,Right,No
6,2001,SP,Bruce Chen,24,4,5,0.444,5.0,16,16,0,0,0,0,86.1,90,53,48,19,31,4,79,1,0,2,381,85,5.19,1.402,9.4,2.0,3.2,8.2,2.55,Left,No
7,2001,CL,Jose Mesa,35,3,3,0.5,2.34,71,0,59,0,0,42,69.1,65,26,18,4,20,2,59,2,1,2,291,182,3.05,1.226,8.4,0.5,2.6,7.7,2.95,Right,No
8,2001,RP,Ricky Bottalico,31,3,4,0.429,3.9,66,0,18,0,0,3,67.0,58,31,29,11,25,2,57,4,0,5,281,109,4.78,1.239,7.8,1.5,3.4,7.7,2.28,Right,No
9,2001,RP,Jose Santiago,26,2,4,0.333,3.61,53,0,5,0,0,0,62.1,66,25,25,3,13,1,28,2,0,0,261,118,3.5,1.267,9.5,0.4,1.9,4.0,2.15,Right,No
10,2001,RP,Rheal Cormier,34,5,6,0.455,4.21,60,0,16,0,0,1,51.1,49,26,24,5,17,4,37,4,0,1,222,101,4.1,1.286,8.6,0.9,3.0,6.5,2.18,Left,No
11,2001,RP,Wayne Gomes,28,4,3,0.571,4.31,42,0,12,0,0,1,48.0,51,23,23,4,22,4,35,1,0,2,215,99,4.11,1.521,9.6,0.8,4.1,6.6,1.59,Right,No
12,2001,,Nelson Figueroa,27,4,5,0.444,3.94,19,13,1,0,0,0,89.0,95,40,39,8,37,3,61,7,0,2,393,108,4.33,1.483,9.6,0.8,3.7,6.2,1.65,Right,No
13,2001,,Brandon Duckworth,25,3,2,0.6,3.52,11,11,0,0,0,0,69.0,57,29,27,2,29,5,40,6,0,2,289,121,3.79,1.246,7.4,0.3,3.8,5.2,1.38,Right,No
14,2001,,Vicente Padilla,23,3,1,0.75,4.24,23,0,5,0,0,0,34.0,36,18,16,1,12,0,29,0,0,1,144,101,2.78,1.412,9.5,0.3,3.2,7.7,2.42,Right,No
15,2001,,Chris Brock,31,3,0,1.0,4.13,24,0,6,0,0,0,32.2,35,16,15,6,15,2,26,2,0,2,147,104,5.41,1.531,9.6,1.7,4.1,7.2,1.73,Right,No
16,2001,,Cliff Politte,27,2,3,0.4,2.42,23,0,7,0,0,0,26.0,24,8,7,2,8,3,23,1,0,1,109,177,3.32,1.231,8.3,0.7,2.8,8.0,2.88,Right,No
17,2001,,Eddie Oropesa,29,1,0,1.0,4.74,30,0,4,0,0,0,19.0,16,10,10,1,17,6,15,0,0,1,87,91,4.84,1.737,7.6,0.5,8.1,7.1,0.88,Left,No
18,2001,,Turk Wendell,34,0,2,0.0,7.47,21,0,8,0,0,0,15.2,21,13,13,4,12,3,15,1,0,1,79,58,6.94,2.106,12.1,2.3,6.9,8.6,1.25,Right,No
19,2001,,Ed Vosberg,39,0,0,0.0,2.84,18,0,4,0,0,0,12.2,8,4,4,0,3,0,11,0,1,0,46,153,2.02,0.868,5.7,0.0,2.1,7.8,3.67,Left,No
20,2001,,Paul Byrd,30,0,1,0.0,8.1,3,1,1,0,0,0,10.0,10,9,9,1,4,0,3,1,0,1,45,54,5.25,1.4,9.0,0.9,3.6,2.7,0.75,Right,No
21,2001,,Dennis Cook,38,0,0,0.0,5.59,19,0,3,0,0,0,9.2,15,6,6,2,4,2,4,1,0,0,46,79,6.46,1.966,14.0,1.9,3.7,3.7,1.0,Left,No
22,2001,,Doug Nickle,26,0,0,0.0,0.0,2,0,2,0,0,0,2.0,1,0,0,0,0,0,1,0,0,0,7,0,2.05,0.5,4.5,0.0,0.0,4.5,0.0,Right,No
1,2000,SP,Randy Wolf,23,11,9,0.55,4.36,32,32,0,1,0,0,206.1,210,107,100,25,83,2,160,8,0,1,889,108,4.48,1.42,9.2,1.1,3.6,7.0,1.93,Left,No
2,2000,SP,Robert Person,30,9,7,0.563,3.63,28,28,0,1,1,0,173.1,144,73,70,13,95,1,164,6,1,10,743,129,3.96,1.379,7.5,0.7,4.9,8.5,1.73,Right,No
3,2000,SP,Curt Schilling,33,6,6,0.5,3.91,16,16,0,4,1,0,112.2,110,49,49,17,32,4,96,1,0,4,474,120,4.27,1.26,8.8,1.4,2.6,7.7,3.0,Right,No
4,2000,SP,Andy Ashby,32,4,7,0.364,5.68,16,16,0,1,0,0,101.1,113,75,64,17,38,5,51,5,0,4,455,83,5.58,1.49,10.0,1.5,3.4,4.5,1.34,Right,No
5,2000,SP,Bruce Chen,23,3,4,0.429,3.63,15,15,0,0,0,0,94.1,81,39,38,14,27,2,80,1,0,4,383,130,4.26,1.145,7.7,1.3,2.6,7.6,2.96,Left,No
6,2000,SP,Paul Byrd,29,2,9,0.182,6.51,17,15,0,0,0,0,83.0,89,67,60,17,35,2,53,3,0,1,371,72,5.89,1.494,9.7,1.8,3.8,5.7,1.51,Right,No
7,2000,CL,Jeff Brantley,36,2,7,0.222,5.86,55,0,47,0,0,23,55.1,64,36,36,12,29,0,57,2,0,2,256,80,5.57,1.681,10.4,2.0,4.7,9.3,1.97,Right,No
8,2000,RP,Chris Brock,30,7,8,0.467,4.34,63,5,17,0,0,1,93.1,85,48,45,21,41,0,69,3,1,4,403,108,5.99,1.35,8.2,2.0,4.0,6.7,1.68,Right,No
9,2000,RP,Wayne Gomes,27,4,6,0.4,4.4,65,0,26,0,0,7,73.2,72,41,36,6,35,3,49,3,0,10,324,107,4.41,1.452,8.8,0.7,4.3,6.0,1.4,Right,No
10,2000,RP,Jason Boyd,27,0,1,0.0,6.55,30,0,11,0,0,0,34.1,39,28,25,2,24,4,32,1,0,1,161,72,4.21,1.835,10.2,0.5,6.3,8.4,1.33,Right,No
11,2000,RP,Ed Vosberg,38,1,1,0.5,4.13,31,0,5,0,0,0,24.0,21,11,11,4,18,0,23,0,0,1,106,115,5.63,1.625,7.9,1.5,6.8,8.6,1.28,Left,No
12,2000,,Omar Daal,28,2,9,0.182,4.69,12,12,0,0,0,0,71.0,81,40,37,9,30,0,51,2,1,0,315,100,4.7,1.563,10.3,1.1,3.8,6.5,1.7,Left,No
13,2000,,Cliff Politte,26,4,3,0.571,3.66,12,8,1,0,0,0,59.0,55,24,24,8,27,1,50,0,0,3,251,129,4.57,1.39,8.4,1.2,4.1,7.6,1.85,Right,No
14,2000,,Kent Bottenfield,31,1,2,0.333,4.5,8,8,0,1,1,0,44.0,41,24,22,5,21,0,31,0,0,0,194,105,4.63,1.409,8.4,1.0,4.3,6.3,1.48,Right,No
15,2000,,Vicente Padilla,22,2,6,0.25,5.34,28,0,4,0,0,2,30.1,40,23,18,3,18,5,21,1,0,1,148,89,4.91,1.912,11.9,0.9,5.3,6.2,1.17,Right,No
16,2000,,Dave Coggin,23,2,0,1.0,5.33,5,5,0,0,0,0,27.0,35,20,16,2,12,0,17,1,0,1,126,89,4.28,1.741,11.7,0.7,4.0,5.7,1.42,Right,No
17,2000,,Mark Holzemer,30,0,1,0.0,7.71,25,0,9,0,0,0,25.2,36,23,22,4,8,1,19,1,0,2,121,61,4.73,1.714,12.6,1.4,2.8,6.7,2.38,Left,No
18,2000,,Amaury Telemaco,26,1,3,0.25,6.66,13,2,2,0,0,0,24.1,25,22,18,6,14,0,22,0,0,1,107,71,6.26,1.603,9.2,2.2,5.2,8.1,1.57,Right,No
19,2000,,Steve Schrenk,31,2,3,0.4,7.33,20,0,6,0,0,0,23.1,25,20,19,3,13,0,19,1,0,0,109,65,4.98,1.629,9.6,1.2,5.0,7.3,1.46,Right,No
20,2000,,Scott Aldred,32,1,3,0.25,5.75,23,0,5,0,0,0,20.1,23,14,13,3,10,0,21,1,0,1,95,83,4.61,1.623,10.2,1.3,4.4,9.3,2.1,Left,No
21,2000,,Bryan Ward,28,0,0,0.0,2.33,20,0,8,0,0,0,19.1,14,5,5,2,8,0,11,0,0,1,79,205,4.58,1.138,6.5,0.9,3.7,5.1,1.38,Left,No
22,2000,,Trever Miller,27,0,0,0.0,8.36,14,0,2,0,0,0,14.0,19,16,13,3,9,1,10,1,0,1,72,57,6.63,2.0,12.2,1.9,5.8,6.4,1.11,Left,No
23,2000,,Carlos Reyes,31,0,2,0.0,5.23,10,0,5,0,0,0,10.1,10,6,6,2,5,0,4,0,0,1,44,92,6.33,1.452,8.7,1.7,4.4,3.5,0.8,Right,No
24,2000,,Thomas Jacquez,24,0,0,0.0,11.05,9,0,2,0,0,1,7.1,10,9,9,2,3,1,6,0,0,0,34,44,6.27,1.773,12.3,2.5,3.7,7.4,2.0,Left,No
25,2000,,Mark Brownson,25,1,0,1.0,7.2,2,0,0,0,0,0,5.0,7,4,4,1,3,0,3,0,0,0,25,69,6.33,2.0,12.6,1.8,5.4,5.4,1.0,Right,No
26,2000,,Kirk Bullinger,30,0,0,0.0,5.4,3,0,1,0,0,0,3.1,4,2,2,0,0,0,4,0,0,0,14,95,0.73,1.2,10.8,0.0,0.0,10.8,0.0,Right,No
27,2000,,Doug Nickle,25,0,0,0.0,13.5,4,0,3,0,0,0,2.2,5,4,4,0,2,0,0,1,0,0,15,39,6.51,2.625,16.9,0.0,6.8,0.0,0.0,Right,No
1,1999,SP,Paul Byrd,28,15,11,0.577,4.6,32,32,0,1,0,0,199.2,205,119,102,34,70,2,106,17,3,11,872,104,5.59,1.377,9.2,1.5,3.2,4.8,1.51,Right,No
2,1999,SP,Curt Schilling,32,15,6,0.714,3.54,24,24,0,8,1,0,180.1,159,74,71,25,44,0,152,5,0,4,735,136,4.07,1.126,7.9,1.2,2.2,7.6,3.45,Right,No
3,1999,SP,Chad Ogea,28,6,12,0.333,5.63,36,28,3,0,0,0,168.0,192,110,105,36,61,1,77,4,2,5,746,85,6.16,1.506,10.3,1.9,3.3,4.1,1.26,Right,No
4,1999,SP,Robert Person,29,10,5,0.667,4.27,31,22,1,0,0,0,137.0,130,72,65,23,70,1,127,2,1,3,599,113,5.04,1.46,8.5,1.5,4.6,8.3,1.81,Right,No
5,1999,SP,Randy Wolf,22,6,9,0.4,5.55,22,21,0,0,0,0,121.2,126,78,75,20,67,0,116,5,0,4,552,87,5.14,1.586,9.3,1.5,5.0,8.6,1.73,Left,No
6,1999,SP,Carlton Loewer,25,2,6,0.25,5.12,20,13,2,2,1,0,89.2,100,54,51,9,26,0,48,0,0,3,385,94,4.24,1.405,10.0,0.9,2.6,4.8,1.85,Right,No
7,1999,CL,Wayne Gomes,26,5,5,0.5,4.26,73,0,58,0,0,19,74.0,70,38,35,5,56,2,58,2,1,3,341,113,4.8,1.703,8.5,0.6,6.8,7.1,1.04,Right,No
8,1999,RP,Steve Montgomery,28,1,5,0.167,3.34,53,0,21,0,0,3,64.2,54,25,24,10,31,3,55,0,0,4,268,144,4.88,1.314,7.5,1.4,4.3,7.7,1.77,Right,No
9,1999,RP,Amaury Telemaco,25,3,0,1.0,5.55,44,0,7,0,0,0,47.0,45,29,29,8,20,3,41,2,0,5,206,87,5.01,1.383,8.6,1.5,3.8,7.9,2.05,Right,No
10,1999,RP,Jim Poole,33,1,1,0.5,4.33,51,0,12,0,0,1,35.1,48,20,17,3,15,1,22,3,1,4,166,112,4.52,1.783,12.2,0.8,3.8,5.6,1.47,Left,No
11,1999,RP,Yorkis Perez,31,3,1,0.75,3.94,35,0,4,0,0,0,32.0,29,15,14,4,15,1,26,0,0,5,137,123,4.54,1.375,8.2,1.1,4.2,7.3,1.73,Left,No
12,1999,,Mike Grace,29,1,4,0.2,7.69,27,5,1,0,0,0,55.0,80,48,47,5,30,0,28,6,0,4,273,63,5.26,2.0,13.1,0.8,4.9,4.6,0.93,Right,No
13,1999,,Steve Schrenk,30,1,3,0.25,4.29,32,2,8,0,0,1,50.1,41,24,24,6,14,4,36,7,0,2,209,112,4.5,1.093,7.3,1.1,2.5,6.4,2.57,Right,No
14,1999,,Joe Grahe,31,1,4,0.2,3.86,13,5,4,0,0,0,32.2,40,16,14,1,17,0,16,3,1,2,153,126,4.39,1.745,11.0,0.3,4.7,4.4,0.94,Right,No
15,1999,,Scott Aldred,31,1,1,0.5,3.9,29,0,5,0,0,1,32.1,33,15,14,1,15,3,19,0,0,3,140,124,3.75,1.485,9.2,0.3,4.2,5.3,1.27,Left,No
16,1999,,Billy Brewer,31,1,1,0.5,7.01,25,0,8,0,0,2,25.2,30,20,20,4,14,1,28,0,0,1,118,69,4.61,1.714,10.5,1.4,4.9,9.8,2.0,Left,No
17,1999,,Anthony Shumaker,26,0,3,0.0,5.96,8,4,2,0,0,0,22.2,23,17,15,3,14,0,17,1,1,1,105,82,5.34,1.632,9.1,1.2,5.6,6.8,1.21,Left,No
18,1999,,Cliff Politte,25,1,0,1.0,7.13,13,0,0,0,0,0,17.2,19,14,14,2,15,0,15,0,0,2,85,68,5.45,1.925,9.7,1.0,7.6,7.6,1.0,Right,No
19,1999,,Joel Bennett,29,2,1,0.667,9.0,5,3,0,0,0,0,17.0,26,17,17,10,7,0,13,0,0,0,83,54,10.49,1.941,13.8,5.3,3.7,6.9,1.86,Right,No
20,1999,,Ken Ryan,30,1,2,0.333,6.32,15,0,5,0,0,0,15.2,16,11,11,2,11,2,9,0,0,1,71,77,5.75,1.723,9.2,1.1,6.3,5.2,0.82,Right,No
21,1999,,Paul Spoljaric,28,0,3,0.0,15.09,5,3,1,0,0,0,11.1,23,24,19,1,7,0,10,1,0,0,64,33,4.63,2.647,18.3,0.8,5.6,7.9,1.43,Left,No
22,1999,,Jeff Brantley,35,1,2,0.333,5.19,10,0,9,0,0,5,8.2,5,6,5,0,8,0,11,0,0,0,40,96,3.36,1.5,5.2,0.0,8.3,11.4,1.38,Right,No
1,1998,SP,Curt Schilling,31,15,14,0.517,3.25,35,35,0,15,2,0,268.2,236,101,97,23,61,3,300,6,0,12,1089,134,2.77,1.105,7.9,0.8,2.0,10.0,4.92,Right,No
2,1998,SP,Mark Portugal,35,10,5,0.667,4.44,26,26,0,3,0,0,166.1,186,88,82,26,32,2,104,4,0,4,704,99,4.57,1.311,10.1,1.4,1.7,5.6,3.25,Right,No
3,1998,SP,Tyler Green,28,6,12,0.333,5.03,27,27,0,0,0,0,159.1,142,97,89,23,85,1,113,9,0,8,699,87,5.37,1.425,8.0,1.3,4.8,6.4,1.33,Right,No
4,1998,SP,Carlton Loewer,24,7,8,0.467,6.09,21,21,0,1,0,0,122.2,154,86,83,18,39,1,58,3,0,4,549,72,5.13,1.573,11.3,1.3,2.9,4.3,1.49,Right,No
5,1998,SP,Matt Beech,26,3,9,0.25,5.15,21,21,0,0,0,0,117.0,126,78,67,19,63,2,113,4,0,8,531,85,5.04,1.615,9.7,1.5,4.8,8.7,1.79,Left,No
6,1998,SP,Mike Grace,28,4,7,0.364,5.48,21,15,1,0,0,0,90.1,116,61,55,10,30,1,46,8,1,1,418,80,4.82,1.616,11.6,1.0,3.0,4.6,1.53,Right,No
7,1998,CL,Mark Leiter,35,7,5,0.583,3.55,69,0,50,0,0,23,88.2,67,36,35,8,47,5,84,8,0,5,378,123,4.28,1.286,6.8,0.8,4.8,8.5,1.79,Right,No
8,1998,RP,Wayne Gomes,25,9,6,0.6,4.24,71,0,16,0,0,1,93.1,94,48,44,9,35,4,86,3,0,6,408,103,3.77,1.382,9.1,0.9,3.4,8.3,2.46,Right,No
9,1998,RP,Jerry Spradlin,31,4,4,0.5,3.53,69,0,20,0,0,1,81.2,63,34,32,9,20,1,76,2,1,6,319,124,3.52,1.016,6.9,1.0,2.2,8.4,3.8,Right,No
10,1998,RP,Yorkis Perez,30,0,2,0.0,3.81,57,0,7,0,0,0,52.0,40,23,22,3,25,0,42,0,0,7,221,115,3.72,1.25,6.9,0.5,4.3,7.3,1.68,Left,No
11,1998,RP,Ricky Bottalico,28,1,5,0.167,6.44,39,0,28,0,0,6,43.1,54,31,31,7,25,5,27,1,0,2,206,68,5.79,1.823,11.2,1.5,5.2,5.6,1.08,Right,No
12,1998,,Paul Byrd,27,5,2,0.714,2.29,8,8,0,2,1,0,55.0,41,16,14,6,17,1,38,0,0,2,222,192,4.1,1.055,6.7,1.0,2.8,6.2,2.24,Right,No
13,1998,,Darrin Winston,31,2,2,0.5,6.12,27,0,5,0,0,1,25.0,31,18,17,7,6,0,11,2,0,1,114,72,6.86,1.48,11.2,2.5,2.2,4.0,1.83,Left,No
14,1998,,Garrett Stephenson,26,0,2,0.0,9.0,6,6,0,0,0,0,23.0,31,24,23,3,19,0,17,0,1,0,118,49,5.83,2.174,12.1,1.2,7.4,6.7,0.89,Right,No
15,1998,,Ken Ryan,29,0,0,0.0,4.37,17,1,6,0,0,0,22.2,21,12,11,1,20,1,16,1,0,4,108,101,5.08,1.809,8.3,0.4,7.9,6.4,0.8,Right,No
16,1998,,Mike Welch,25,0,2,0.0,8.27,10,2,0,0,0,0,20.2,26,19,19,7,7,0,15,2,0,0,94,54,7.4,1.597,11.3,3.0,3.0,6.5,2.14,Right,No
17,1998,,Matt Whiteside,30,1,1,0.5,8.5,10,0,1,0,0,0,18.0,27,18,17,6,5,0,14,0,1,0,85,52,6.75,1.778,13.5,3.0,2.5,7.0,2.8,Right,No
18,1998,,Toby Borland,29,0,0,0.0,5.0,6,0,3,0,0,0,9.0,8,5,5,1,5,0,9,0,0,2,39,91,4.25,1.444,8.0,1.0,5.0,9.0,1.8,Right,No
19,1998,,Robert Dodd,25,1,0,1.0,7.2,4,0,3,0,0,0,5.0,7,6,4,1,1,0,4,1,1,1,25,65,5.34,1.6,12.6,1.8,1.8,7.2,4.0,Left,No
20,1998,,Ryan Nye,25,0,0,0.0,27.0,1,0,1,0,0,0,1.0,3,3,3,1,0,0,3,0,0,0,6,22,10.14,3.0,27.0,9.0,0.0,27.0,0.0,Right,No
21,1998,,Billy Brewer,30,0,1,0.0,108.0,2,0,0,0,0,0,0.1,3,4,4,0,2,0,0,0,0,0,6,8,21.14,15.0,81.0,0.0,54.0,0.0,0.0,Left,No
1,1997,SP,Curt Schilling,30,17,11,0.607,2.97,35,35,0,7,2,0,254.1,208,96,84,25,58,3,319,5,1,5,1009,143,2.62,1.046,7.4,0.9,2.1,11.3,5.5,Right,No
2,1997,SP,Mark Leiter,34,10,17,0.37,5.67,31,31,0,3,0,0,182.2,216,132,115,25,64,4,148,9,2,11,832,75,4.47,1.533,10.6,1.2,3.2,7.3,2.31,Right,No
3,1997,SP,Matt Beech,25,4,9,0.308,5.07,24,24,0,0,0,0,136.2,147,81,77,25,57,9,120,5,2,6,602,84,5.09,1.493,9.7,1.6,3.8,7.9,2.11,Left,No
4,1997,SP,Garrett Stephenson,25,8,6,0.571,3.15,20,18,0,2,0,0,117.0,104,45,41,11,38,0,81,3,0,1,474,135,4.0,1.214,8.0,0.8,2.9,6.2,2.13,Right,No
5,1997,SP,Tyler Green,27,4,4,0.5,4.93,14,14,0,0,0,0,76.2,72,50,42,8,45,4,58,1,0,7,340,87,4.75,1.526,8.5,0.9,5.3,6.8,1.29,Right,No
6,1997,SP,Calvin Maduro,22,3,7,0.3,7.23,15,13,0,0,0,0,71.0,83,59,57,12,41,5,31,3,2,6,331,59,6.29,1.746,10.5,1.5,5.2,3.9,0.76,Right,No
7,1997,CL,Ricky Bottalico,27,2,5,0.286,3.65,69,0,61,0,0,34,74.0,68,31,30,7,42,4,89,2,0,3,324,117,3.72,1.486,8.3,0.9,5.1,10.8,2.12,Right,No
8,1997,RP,Jerry Spradlin,30,4,8,0.333,4.74,76,0,23,0,0,1,81.2,86,45,43,9,27,3,67,1,2,5,345,90,3.93,1.384,9.5,1.0,3.0,7.4,2.48,Right,No
9,1997,RP,Reggie Harris,28,1,3,0.25,5.3,50,0,13,0,0,0,54.1,55,33,32,1,43,1,45,5,1,5,264,81,4.34,1.804,9.1,0.2,7.1,7.5,1.05,Right,No
10,1997,RP,Ron Blazier,25,1,1,0.5,5.03,36,0,7,0,0,0,53.2,62,31,30,8,21,3,42,0,0,2,240,85,4.66,1.547,10.4,1.3,3.5,7.0,2.0,Right,No
11,1997,RP,Wayne Gomes,24,5,1,0.833,5.27,37,0,13,0,0,0,42.2,45,26,25,4,24,0,24,1,0,2,191,81,4.96,1.617,9.5,0.8,5.1,5.1,1.0,Right,No
12,1997,,Scott Ruffcorn,27,0,3,0.0,7.71,18,4,3,0,0,0,39.2,42,40,34,4,36,1,33,7,1,6,202,56,6.01,1.966,9.5,0.9,8.2,7.5,0.92,Right,No
13,1997,,Mike Grace,27,3,2,0.6,3.46,6,6,0,1,1,0,39.0,32,16,15,3,10,1,26,1,0,2,151,124,3.62,1.077,7.4,0.7,2.3,6.0,2.6,Right,No
14,1997,,Bobby Munoz,29,1,5,0.167,8.91,8,7,1,0,0,0,33.1,47,35,33,4,15,1,20,2,1,3,161,48,5.0,1.86,12.7,1.1,4.1,5.4,1.33,Right,No
15,1997,,Mike Mimbs,28,0,3,0.0,7.53,17,1,2,0,0,0,28.2,31,27,24,6,27,1,29,3,0,4,146,57,6.95,2.023,9.7,1.9,8.5,9.1,1.07,Left,No
16,1997,,Erik Plantenberg,28,0,0,0.0,4.91,35,0,9,0,0,0,25.2,25,14,14,1,12,0,12,1,0,2,113,88,4.2,1.442,8.8,0.4,4.2,4.2,1.0,Left,No
17,1997,,Billy Brewer,29,1,2,0.333,3.27,25,0,4,0,0,0,22.0,15,8,8,2,11,0,16,0,0,1,93,132,4.34,1.182,6.1,0.8,4.5,6.5,1.45,Left,No
18,1997,,Ken Ryan,28,1,0,1.0,9.58,22,0,10,0,0,0,20.2,31,23,22,5,13,1,10,2,0,0,108,45,7.46,2.129,13.5,2.2,5.7,4.4,0.77,Right,No
